Voltage (V),Current (A),Resistance (Ohm)
0.0,-1.652484e-08,0.0
0.1,0.0001020477,979.9338936595337
0.2,0.0002042044,979.4108256237378
0.30000000000000004,0.0003063177,979.3753348239428
0.4,0.0004084516,979.3081971034023
0.5,0.000510588,979.263124084389
0.6,0.0006126842,979.2973280525268
0.7,0.0007148137,979.2761386638224
0.7999999999999999,0.0008169455,979.2574902487374
0.8999999999999999,0.0009190532,979.2686647519424
0.9999999999999999,0.001021192,979.2477810245281
